Refs,Display,JLCPCB ID,Manufacturer,Manufacturer 2,Part Number,Part Number 2,Specifications,datasheet,footprint,prefix,value
1.1k_0603,1.1k,C22764,Yageo,,RC0603FR-071K1L,,"1K1, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,1.1k_0603
1.2k_0603,1.2k,C22765,Yageo,,RC0603FR-071K2L,,"1K2, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,1.2k_0603
10.2k_0603,10.2k,C22772,Yageo,,RC0603FR-0710K2L,,"10.2k, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,10.2k_0603
100k_0603,100k,C25803,Yageo,,RC0603FR-07100KL,,"100K, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,100k_0603
10R_0603,10R,C22859,Yageo,,RC0603FR-0710RL,,"10R, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,10R_0603
10k_0603,10k,C25804,Yageo,,RC0603FR-0710KL,,"10K, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,10k_0603
10m_1206_250mW,10mΩ/250mW,C127703,Yageo,,PF1206FRF070R01L,,"10mΩ, 10mOhm, Min. 250mW, 100PPM/C",,Resistor_SMD:R_1206_3216Metric,R,10m_1206_250mW
13k_0603,13k,C22797,Yageo,,RC0603FR-0713KL,,"13K, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,13k_0603
150R_0603,150R,C22808 ,Yageo,,RC0603FR-07150RL,,"150R, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,150R_0603
15k_0603,15k,C22809,Yageo,,RC0603FR-0715KL,,"15k,1%,1/10W,0603",,4ms_Resistor:R_0603,R,15k_0603
16.5k_0603,16.5k,C22812,Yageo,,RC0603FR-0716K5L,,"16K5, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,16.5k_0603
18R_0603,18R,C22830,Yageo,,RC0603FR-0718RL,,"18R, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,18R_0603
18R_0603_0.1%,18R 0.1%,,TE Connectivity / Neohm,,CPF0603B18RE1,,"18R, 0.1%, 1/16W, 0603",,4ms_Resistor:R_0603,R,18R_0603_0.1%
191R_0603_0.1%,191Ω 0.1%,,Panasonic,Yageo,ERA-3AEB1910V,RT0603BRD07191RL,"191R, 0.1%, 1/16W, 0603, 25ppm",,4ms_Resistor:R_0603,R,191R_0603_0.1%
1M_0603,1M,C22935,Yageo,,RC0603FR-071ML,,"1M, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,1M_0603
1k_0603,1k,C21190,Yageo,,RC0603FR-071KL,,"1K, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,1k_0603
1k_0603_0.1%,1k 0.1%,C54019,Panasonic,Yageo,ERA-3AEB102V,RT0603BRD071KL,"1k, 0.1%, 1/16W, 0603, 25ppm",,4ms_Resistor:R_0603,R,1k_0603_0.1%
2.2k_0603,2.2k,C4190,Yageo,,RC0603FR-072K2L,,"2.2k, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,2.2k_0603
2.7k_0603,2.7k,C13167,Yageo,,RC0603FR-072K7L,,"2k7, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,2.7k_0603
200k_0603,200k,C25811,Yageo,,RC0603FR-07200KL,,"200k, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,200k_0603
20k_0603,20k,C4184 ,Yageo,,RC0603FR-0720KL,,"20k, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,20k_0603
220R_0603,220R,C8218,Yageo,,RC0603FR-07220RL,,"220R, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,220R_0603
22k_0603,22k,C31850,Yageo,,RC0603FR-0722KL,,"22K, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,22k_0603
270R_0603,270R,C22966,Yageo,,RC0603FR-07270RL,,"270R, 1%, 1/10W, 0603",,4ms_Resistor:R_0603,R,270R_0603
